raisedhands,VisITedResources,AnnouncementsView,Discussion,avg
62,70,44,60,59
72,51,42,24,47.25
50,70,50,10,45
73,84,77,81,78.75
85,89,22,61,64.25
100,80,2,70,63
22,20,6,26,18.5
80,89,23,68,65
100,80,95,90,91.25
83,75,62,53,68.25
79,84,82,37,70.5
70,82,3,73,57
70,90,41,33,58.5
60,70,63,93,71.5
70,58,73,91,73
100,91,98,40,82.25
80,90,49,55,68.5
85,75,62,53,68.75
15,90,52,83,60
80,42,33,13,42
60,52,23,33,42
70,92,83,85,82.5
100,75,50,70,73.75
72,80,98,96,86.5
87,81,22,70,65
96,61,42,94,73.25
76,81,80,86,80.75
65,89,64,82,75
98,88,60,31,69.25
70,89,12,21,48
74,71,56,37,59.5
90,84,52,30,64
95,94,72,80,85.25
14,97,15,14,35
13,82,20,30,36.25
25,29,40,17,27.75
98,87,86,84,88.75
75,81,51,34,60.25
59,90,19,43,52.75
74,60,56,37,56.75
97,87,82,86,88
24,97,15,14,37.5
23,82,20,30,38.75
80,87,72,60,74.75
72,74,82,89,79.25
80,95,21,28,56
90,98,41,38,66.75
35,80,50,70,58.75
88,90,86,81,86.25
98,90,86,71,86.25
88,90,76,81,83.75
90,91,80,81,85.5
15,97,22,10,36
85,90,52,30,64.25
50,70,19,15,38.5
80,90,55,19,61
70,12,40,50,43
55,89,40,40,56
14,60,11,75,40
50,88,30,80,62
78,70,31,29,52
80,88,51,39,64.5
89,92,89,83,88.25
89,92,89,83,88.25
99,96,89,84,92
80,90,80,83,83.25
19,98,20,2,34.75
79,91,49,22,60.25
59,97,42,70,67
40,62,83,33,54.5
10,17,12,40,19.75
15,6,32,40,23.25
80,80,15,70,61.25
80,90,55,19,61
80,80,51,59,67.5
80,94,62,77,78.25
89,92,40,28,62.25
69,82,20,28,49.75
86,98,50,20,63.5
78,91,50,40,64.75
96,95,70,70,82.75
82,89,22,31,56
85,99,42,90,79
51,79,85,89,76
72,21,22,26,35.25
95,82,82,70,82.25
70,4,39,90,50.75
13,80,40,88,55.25
65,75,23,80,60.75
60,97,13,3,43.25
60,92,83,23,64.5
30,98,42,21,47.75
72,98,52,15,59.25
90,79,76,79,81
