,gender,NationalITy,PlaceofBirth,StageID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,GradeID
1,1,5,5,3,1,9,1,2,62,70,44,60,1,1,1,1,6
2,1,10,10,3,2,1,2,2,72,51,42,24,2,1,1,1,6
3,2,5,5,1,2,8,1,1,50,70,50,10,2,2,1,1,1
4,2,5,5,2,2,9,2,2,73,84,77,81,2,2,1,1,9
5,2,4,10,3,1,6,1,1,85,89,22,61,1,1,2,1,6
6,1,5,5,1,2,8,1,1,100,80,2,70,1,1,2,1,1
7,2,4,4,3,1,4,2,1,22,20,6,26,1,1,2,1,4
8,2,4,10,3,1,6,2,1,80,89,23,68,1,1,2,1,6
9,1,4,1,3,1,10,1,2,100,80,95,90,1,1,2,1,5
10,2,5,5,3,1,1,2,2,83,75,62,53,1,1,2,1,6
11,1,4,4,3,1,4,2,2,79,84,82,37,1,1,2,1,4
12,1,4,4,1,2,5,2,2,70,82,3,73,1,1,2,1,1
13,2,5,5,1,2,8,1,1,70,90,41,33,2,1,2,1,1
14,1,10,10,1,2,5,2,1,60,70,63,93,2,1,2,1,1
15,2,10,13,2,2,9,2,1,70,58,73,91,2,1,2,1,9
16,1,10,13,2,2,11,2,1,100,91,98,40,2,1,2,1,9
17,1,6,6,3,2,9,1,2,80,90,49,55,2,1,2,1,5
18,2,5,5,3,1,1,2,2,85,75,62,53,2,1,2,1,6
19,2,5,5,3,2,1,2,2,15,90,52,83,2,1,2,1,6
20,1,6,6,1,2,5,2,2,80,42,33,13,2,1,2,1,1
21,2,12,12,1,2,5,2,2,60,52,23,33,2,1,2,1,1
22,2,5,5,3,2,8,2,2,70,92,83,85,2,1,2,1,5
23,1,4,6,3,1,10,2,2,100,75,50,70,2,1,2,1,5
24,2,5,5,3,2,11,2,2,72,80,98,96,2,1,2,1,5
25,2,5,5,3,2,12,2,2,87,81,22,70,2,1,2,1,6
26,2,5,5,3,3,12,2,2,96,61,42,94,2,1,2,1,6
27,2,4,4,3,1,2,1,1,76,81,80,86,1,2,2,1,5
28,2,4,4,3,1,2,2,1,65,89,64,82,1,2,2,1,5
29,1,9,4,1,1,1,1,2,98,88,60,31,1,2,2,1,1
30,1,4,4,3,2,2,1,2,70,89,12,21,1,2,2,1,5
31,2,3,3,3,1,4,1,2,74,71,56,37,1,2,2,1,4
32,1,4,4,3,1,4,1,2,90,84,52,30,1,2,2,1,4
33,1,4,4,3,1,4,1,2,95,94,72,80,1,2,2,1,4
34,1,4,4,1,2,5,1,2,14,97,15,14,1,2,2,1,1
35,1,4,4,1,2,5,1,2,13,82,20,30,1,2,2,1,1
36,1,5,5,1,3,8,1,2,25,29,40,17,1,2,2,1,1
37,1,4,4,1,1,11,1,2,98,87,86,84,1,2,2,1,2
